UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
apina,@iicecups,2021-05-04T09:37:09.000Z,"gue selalu ngatain temen-temen gue bucin, tapi gue juga ngebucin. bedanya mereka diakuin GUE ENGGAK. BANGKEEE #pain",,,,
BabyMochi,@BucinYoonmin_,2021-05-04T10:27:39.000Z,MIN YOONGI ,âœ¨ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­,,,
es.kopi.hangat,@comehom3,2021-05-04T07:43:00.000Z,aaa ga bisa bgt  liat scofield bucin sm sara ,ğŸ™ˆ â£ âœ¨ ğŸ˜½ ğŸ’œ ğŸ˜© ğŸ’ ğŸ’˜ â›„ ğŸ–¤,,,
Beautiful Night | bucin bucin yesung,@piowoon,2021-05-04T07:29:06.000Z,"Mereka berdua kiyowo sekali 
#ì˜ˆì„± #yesung #BeautifulNight",ğŸŒ» ğŸ˜š ğŸ˜ ğŸ˜—,,,4
lagi bucin lee jeno,@duhjenoo,2021-05-04T15:42:32.000Z,TATAP TATAPAN LUCU BGT ADJAKAHKAJSKAAJHA MANA SENYUM NANA,,,,
"Lan
Lg bucin yoongi.",@Parkwulanssi,2021-05-04T13:00:26.000Z,"For the first time
 segini aja aku kaget loh kok tetiba rame eh ternyata lagi ngeteh",ğŸ¥ ğŸ¤£ ğŸ¤£,,,
Masih bucin Ceye,@Le_Ohh_GudBoy,2021-05-04T16:14:31.000Z,"mohon maaf, itu pot bunganya ngambil dari lab mane nih, Min???",,,,
tariâ·,@yungiverse_,2021-05-04T11:33:08.000Z,cakep bgt sihh kan ak makin bucin:(,ğŸ± ğŸ§ˆ,,,
BCFESS: ON â€” OPEN DM,@BLACKCLOVERFESS,2021-05-04T17:00:00.000Z,"*bcbl *bcmimpi Yami x Nacht

tiba-tiba kepikiran ini dua bakal lucu kalo bucin, jadi gini deh...",,18,20,43
ca,@rojubabe,2021-05-04T07:35:14.000Z,"bucin bgt sama giddy up era juyeon:(Dari 
Take A Shot",,,,1
Aldebaran Bucin Alfahri,@alfahri_bucin,2021-05-04T13:35:42.000Z,Tapi kalo dillihat lihat elsa sama ricky cocok ege. Kek ricky tu beda ama kuyang wkwk #IkatanCintaEp261,,,,3
"Vantae
|| NSFR",@cloudygrayy,2021-05-04T13:00:37.000Z,Karena bucin,â™¨,,,2
HAECHAANATION,@lustree0,2021-05-04T16:09:36.000Z,gwe yang sedang bucin makin bucin sj ini ,ğŸ˜–,,,
Adina sibuk uts 1 hari lagi,@BucinNFlying,2021-05-04T12:09:20.000Z,Hun : aduh biyuuuung,,,,1
bucin nya 11540,@kifadz,2021-05-04T21:23:42.000Z,Panjang umur buat gue yang selalu meluangkan waktu untuk ngajak ngumpul,,,,
bella,@berrygurl_,2021-05-04T15:03:55.000Z,sudahii galaumu mari bucin oppa oppa bersamaku,,,,
Khar,@Didincocolatte,2021-05-04T10:45:48.000Z,"Gue kl udah bucin sm orang ya gini, dijadiin ava smua ",ğŸ¦ ğŸ˜€ ğŸ˜€,,,
mika bucin hoshi,@sh1ratorizawa1,2021-05-04T14:06:02.000Z,"dear mantan mas crush ; 

UDH DONG, SY SDH SUSAH PAYAH MOVE ON DARI KAMU GEGARA DIGANTUNGIN BERTAHUN TAHUN",ğŸ¯ ğŸ˜©,4,,
sgt bucin lakiÂ² yg tidak bisa digapai,@listennboys,2021-05-04T15:53:12.000Z,"Uwaww teaser min yoongi and Lee haechan keluar dgn berbarengan
GATAU DEH GUE MUK MELEBUR JD DEBU AJA, LEE HAECHAN NYETIRR AJSKDBKSLZ",ğŸŒœ ğŸ˜© ğŸ˜­ ğŸ˜­ ğŸ’” ğŸ’”,,,1
ğ”‚ğ“¾ğ“¶ğ“¶ğ”‚ masih bucin.,@huzelnutcoffee,2021-05-04T09:07:00.000Z,udah 2 kali tbtb ngechat. dan sama. pasti ngirim foto makanan,ğŸ˜Œ,1,,1
á¥´â…ˆtâ„›êª‹êª‹êª‹â· lelah mnjadi amijen,@eatjin_id,2021-05-04T15:08:53.000Z,seokjin ,ğŸ’š ğŸ’œ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ’œ,,,
BucinTer,@bucin_ter,2021-05-04T10:38:58.000Z,"FPI terbukti baiat ke ISIS
#RingkusTeroris",,,,8
lif,@yurachka_,2021-05-04T11:57:17.000Z,Bucin sekali aku iri,ğŸŒ¼,,,
BucinTer,@bucin_ter,2021-05-04T10:40:14.000Z,"Rizieq Shihab bukanlah imam besar, hanya seorang yang suka memprovokasi dan menebar kebencian.
#RingkusTeroris",,1,,6
nad ë‚Ÿ,@cookingasaucee,2021-05-04T05:49:36.000Z,lagi bucin bgt ama dia tolong,,,,1
hes lagi bucin JK,@hest8kook,2021-05-04T09:56:22.000Z,Kaku bngt kaya suami aku,,,,
onlyhwii#CLOSE,@Dhz220519,2021-05-04T12:35:23.000Z,Husttt kakak hwihwi mau bobok baik baik kak takutnya nanti kena karma malah jadi bucin ab6ix gimana kak,ğŸ¼ ğŸ˜‚,,,3
ãƒªãƒŠ,@nuneonaa,2021-05-04T06:49:02.000Z,Dua orang yang gak tenang kalau gak nge bucin mereka sehari aja,,,,4
Cha,@selaistroberii,2021-05-04T14:38:13.000Z,"MEWGULF One Tweet AU

From In Time Universe

Rawi bucin Kanala, tapi Kanala lebih bucin Si Putih",ğŸ’ƒ ğŸ’ƒ ğŸ’ƒ,,,3
â„‚ ğ•† ğ•‹ ğ•‹ ğ•† â„•,@bucin_moontaeil,2021-05-04T16:54:01.000Z,Candu bgt gilaaa,ğŸ­ ğŸ˜­ ğŸ’š,,,
"Ka Cyn
PO Album Dream",@BucinNct_23,2021-05-04T15:12:09.000Z,"Kenyang 
Segini udah bukan porsi gue lg ternyata",ğŸ“Œ ğŸ˜… ğŸ˜…,,,
ê¦²ê¦ºê¦¤ê¦ºê¦´ê¦ê§€ê¦•ê¦¤ê§€ê¦ ê¦¶ê¦ê§€,@johnnyromadhon,2021-05-04T03:01:53.000Z,"ga kerasa gue bucin johnny dah setahun lebi ckkckk
bucin lo lama lama tapi ujung2nya ga lo nikahin buat apa coba joo ??",,,,1
idy fess,@idyntsleep,2021-05-04T09:05:55.000Z,"Membalas 
@akungatwkm
 @kenjmzone
  dan 2 lainnyaudah terlanjur beli barang yang ga berguna, terus gimana?",,1,,6
tul bucin renjun,@akungatwkm,2021-05-04T09:11:35.000Z,setauku kalo bisa dikasih ke 'yang lebih membutuhkan' aja. jangan dikoleksi terus menerus buat dipajang gitu. kalo misal emg gaada yg butuh bisa dibakar atau dibuang,,2,2,22
matcha,@molophiles,2021-05-04T06:37:39.000Z,"Membalas 
@spklw18_
 @bucin_matcha
 dan 
@nctzenbasemjb investasi bukan cuma album, kalo mau waras bisa ke psikolog, kalo mau cari tau apapun termasuk kebahagiaan bisa buka qur'an petunjuk idup manusia paling lengkap. emg kalo udah bawa"" agama kdg sulit diterima sama manusia, akupun masih suka beli"" pc wkwk semangat kamu!",,,8,14
Badi,@badi_bucinFeni,2021-05-03T20:27:19.000Z,"Membalas 
@badi_bucinFeniDay 22. masih puasa gak 
@F_FeniJKT48
, semngat hari ini. 
#sahurbersamaFeni
#SahurKawaii",â¤,1,,
chilaa,@bananadw_,2021-05-04T07:02:23.000Z,#NewProfilePic hehe chila bucin ava ini ,ğŸ­ ğŸ§ ğŸŒ,1,,
PutRi yaNg bUcin hC,@kim_nunaaa,2021-05-04T15:10:00.000Z,Lo kira keren begitu? Keren banget njir ,â˜€ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜© ğŸ˜© ğŸ˜© ğŸ˜© ğŸ˜© ğŸ˜© ğŸ˜© ğŸ˜© ğŸ˜© ğŸ˜© ğŸ˜© ğŸ˜©,,,
hyunjin bucin kkami,@bucin_teross,2021-05-04T16:52:46.000Z,"Membalas 
@munconvoeric kecilannya:(",,,,
riz lagi bucin mas indo,@narizkitaan,2021-05-04T04:56:26.000Z,Pikrunya gemesh,ğŸ¥º,1,,1
Wooca (BUCIN YOONGI),@K_kkaepjjang,2021-05-04T09:55:20.000Z,Asupan sbelum buka,ğŸ¥º,,,
kang bucin,@Galang_A6,2021-05-04T11:23:14.000Z,Foto mu ga mau bersanding didompet ku?,,2,,1
JIA JADI CAMABA UNP 2021 AAMIIN,@jia_fzk07,2021-05-04T03:19:58.000Z,"Sedang mencari mutualan MY
 ayok my kita ngehype cb mereka barengÂ²

AESPA IS COMING
AESPA COMEBACK
#aespa 
@aespa_official",ğŸ˜­,80,38,253
bucin anak SM,@Taromilkcheese,2021-05-04T06:51:22.000Z,"Mari mutualan

AESPA IS COMING
#aespa 
@aespa_official",,,,
zii,@eajsixx_,2021-05-04T09:57:06.000Z,"Ava jae sama DP WA aku hampir sma kocing nya sma2 diri wkwk ngakak duh lgi bucin kucing ya mas km, apa ini namanya jodoh",ğŸ§• ğŸ˜‚,,,
Kimiâ·,@aremicstr,2021-05-04T08:10:06.000Z,"Membalas 
@aremicstrKarakter terbarbar :",ğŸ¨,1,1,4
Kimiâ·,@aremicstr,2021-05-04T08:15:44.000Z,Kok pada pilih pak kim? Kak t4e juga bucin anjim,ğŸ¨,5,,11
bucin renjun.,@hrjndrm_,2021-05-04T07:23:23.000Z,"YaAllah, ganteng-ganteng bangettttKutip Tweet
NCT DREAM
@NCTsmtown_DREAM
 Â· 3 Mei
Chilling JalapeÃ±os

NCT DREAM The 1st Album
ã€–ë§› (Hot Sauce)ã€—
â« 2021.05.10 (KST)

#NCTDREAM #ë§›_HotSauce
#NCTDREAM_ë§›_HotSauce",ğŸ˜­ ğŸ˜­ ğŸ˜­,,,
bucin kucing,@esbatukotak,2021-05-04T13:29:22.000Z,Tampak samping & tampak atas,,,,
Bucin Nanamin,@snow_fog,2021-05-04T12:28:38.000Z,"FAAAAK KELAR JG AKHIRNYA

TERIMA KASIH SILVERASH BANTUANNYA HHHHHH",,,,
ğ–†ğ–‘.,@vorequiem,2021-05-04T13:00:06.000Z,Baru buat auto bucin,,,1,
"el
au damar | rest bentar",@est_02el,2021-05-04T03:53:47.000Z,";bucin abangnya damar
doyoung convo au

Â©EL on 
@est_02el",ğŸ“Œ,1,8,12
nabila,@MOON4THESKIES,2021-05-04T07:19:15.000Z,dengerin lagu bucin lagii,,,,
"chewwwwyê•¤
|| bucin jaehyuk",@Jaehooni_,2021-05-04T11:43:03.000Z,"asli males bgt ngedesignâ€ kyk begini
gx kreatipp aku tuhhh
mau jajan aja susah bgt",ğŸ’ ğŸ˜­ ğŸ˜­ ğŸ¥² ğŸ¥² ğŸ¥² ğŸ¥²,1,,
Bunga.,@SEKELOPAK,2021-05-04T09:40:42.000Z,Bucin banget. Ini yang dinamakan adil.,,1,1,
"INDI
|| dday",@beries_hazza,2021-05-04T13:16:41.000Z,tbtb bucin pak vin ,âœ¨ ğŸ“Œ ğŸ˜© ğŸ˜©,,,
nikkita,@jooniefrogie,2021-05-04T14:38:31.000Z,EMG KEBIASAAN NAMJIN KALAU DI RUN BUCIN TEROSSSSSSSS,ğŸ§ˆ,,,
Dinsky,@_dinsky,2021-05-04T14:14:02.000Z,"Bow liat Gulf pake filter Sunflower: 
 okey Gulf.. okey.. mbak tau kamu bucin.. 
#GulfBowTNJJxMintLive",ğŸ˜¶ ğŸ˜¶ ğŸ˜¶ ğŸ˜Œ ğŸ˜Œ,,,3
ryn ackerman,@penunggu_lab,2021-05-04T23:11:08.000Z,"Membalas 
@penunggu_labLevi Ackerman

- 26 y.o
- kerja kantoran di sebuah perusahaan multinasional
- clean freak
- jutek, dingin
- over protective
- jomblo
- cebol
- jago martial arts",,1,,
ryn ackerman,@penunggu_lab,2021-05-04T23:13:01.000Z,"Mikasa Ackerman

- adeknya Levi
- 17 y.o
- tinggian dia daripada abangnya
- jago martial arts juga
- tidak jomblo, sekali bucin bakal bucin banget
- pinter banget anaknya",,1,,
mumu,@zonkmu,2021-05-04T08:54:58.000Z,"Mentang-mentang aku lagi bucin Allen, malah dikasih kartu Allen yang banyak :"")",,1,,
â™¡â‚Šâ€¢Ë– sae,@springrolie,2021-05-04T09:41:46.000Z,"haha abis liat konten bucin difyp, rasanya :",,,,
izy | #Butter,@greantealandxr,2021-05-04T16:24:47.000Z,sedang bucin seunggi,,,,1
H&W,@howoopalace,2021-05-04T05:17:58.000Z,"/snhn lanjutannya
Jihoon = Bucin tsundere
 
https://twitter.com/howoopalace/status/1389447617902379012?s=19â€¦Kutip Tweet
H&W
@howoopalace
 Â· 18j
/snhn Godain Jihoon adalah jalan ninja Soonyoung 
 https://pic.twitter.com/i84LGmLvcE",ğŸ¯ ğŸš ğŸ¤­ ğŸ¯ ğŸš ğŸ˜,2,2,62
bucin seblak,@kusukaseblax,2021-05-04T06:31:24.000Z,"Membalas 
@ohmybeautybankIni sih wkwk, goodwood merk nya. Jam tangan kayu",,,,
lagi bucin hwang minhyun,@baekhyclip,2021-05-04T09:53:10.000Z,"ALYA PUTRI HEH LU KOK TIAP ZOOM TIDUR BISA STUDENT OF THE MONTH
 @luxtlutx",ğŸ˜­ ğŸ˜­ ğŸ˜­,1,,
bucin nya 11540,@kifadz,2021-05-04T11:51:11.000Z,"Lo itu mood booster gue .
Kalau gue ngajak ketemu, berarti gue lagi butuh lo buat naikin mood gue yang lagi ancur hehe",,,,
stobellyberacundramaReyna,@panggilajaberr,2021-05-04T13:26:53.000Z,"Asli masih nggk abis pikir sama Elsa. Milih laki sayton macam Nino, padahal ada Ricky walau fuckboi tp bucin akut lho dia sama lu Sa .
#IkatanCintaEp261",,,,3
BucinTer,@bucin_ter,2021-05-04T10:38:02.000Z,"Terungkap jejak Munarman di dalam jaringan teroris JAD.
#RingkusTeroris",,,,6
shihab,@rieziqshihab,2021-05-04T18:27:19.000Z,"bucin sama pacar  
bucin sama ade sendiri  0:17
12 tayangan",âœ– âœ”,,,
Aldebaran Bucin Alfahri,@alfahri_bucin,2021-05-04T13:30:50.000Z,"DULU GA LO AKUIN YE, SKRG MAIN MAU NGAKUIN LO . DAKJAL EMANG SI NINO 
#IkatanCintaEp261",ğŸ‘º,,,3
alfa | bantu rt pinned ok,@syajujun,2021-05-04T12:56:22.000Z,"hai rui! mutualan sama bucin jujun yuk? ni akun baru netes banget huhu. bantu rt yak, trimakasiii! ",â¤ ğŸ˜™,,14,4
shihab,@rieziqshihab,2021-05-04T18:27:19.000Z,"bucin sama pacar  
bucin sama ade sendiri  12 tayangan
0:05 / 0:20",âœ– âœ”,,,
coklat,@gericokolatoss,2021-05-04T15:07:22.000Z,"Tanpa disadariii,ternyata aku bucin:)",,,,
Pill,@yaudinn,2021-05-04T08:36:14.000Z,Bucin boleh bego jangan,,,,1
`ğ‘ğ‘–ğ‘›ğ‘¡ âœ©â€§â‚Š rest buy,@jaerhyun_,2021-05-04T11:02:42.000Z,"jaehyun
 pokoknya jaehyun dah intinya ak bucin mampus dgan jeje",ğŸ’ª ğŸ‘€,,,
ay,@ayyyyu11,2021-05-04T16:15:16.000Z,Ramuan penambah bucin,,,,
"Dzuzu
|| ingat Pelunasan",@BucinLinoAkut,2021-05-04T14:23:39.000Z,Ngidam pc ini ,ğŸ¹ ğŸ˜© â˜ ğŸ¤° ğŸ¤° ğŸ¤°,,,
eyyy,@JjkBucin,2021-05-04T13:15:39.000Z,"Syng bngt sm mereka Huaa
I vote #BTSArmy
 for #FaveChoreography at the 2021 #iHeartAwards",ğŸ’œ,,,1
rere,@baekhyunbae15,2021-05-04T13:37:01.000Z,WKWKWKWKW ANJRITTTT ABANG GW LAGI MODE BUCIN,,,,
